#SampleID	Plate	Well	Species	Age	Sample	Colony	Year
MOCK_7-1	7	A1	MOCK	NA	MOCK	NA	2019
PCR_NEG_7-1	7	B1	BLANK	NA	BLANK	NA	2019
COTE_MON_AD_2019_82	7	C1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_83	7	D1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_84	7	E1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_85	7	F1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_CH_2019_009	7	G1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_010	7	H1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_011	7	A2	COTE	CHICK	SAMPLE	MON	2019
BLANK_7-2	7	B2	BLANK	NA	BLANK	NA	2019
COTE_MON_CH_2019_023	7	C2	COTE	CHICK	SAMPLE	MON	2019
COTE_PON_AD_2019_001	7	D2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_002	7	E2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_003	7	F2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_004	7	G2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_CH_2019_029	7	H2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_031	7	A3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_032	7	B3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_034	7	C3	COTE	CHICK	SAMPLE	POND	2019
COTE_PMI_AD_2019_001	7	D3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_CH_2019_014	7	E3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_040	7	F3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_047	7	G3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_061	7	H3	COTE	CHICK	SAMPLE	PMI	2019
COTE_SHI_CH_2019_030	7	A4	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_036	7	B4	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_038	7	C4	COTE	CHICK	SAMPLE	SHIP	2019
BLANK_7-3	7	D4	BLANK	NA	BLANK	NA	2019
COTE_SHI_CH_2019_040	7	E4	COTE	CHICK	SAMPLE	SHIP	2019
COTE_MET_CH_2019_130	7	F4	COTE	CHICK	SAMPLE	MET	2019
COTE_MET_CH_2019_131	7	G4	COTE	CHICK	SAMPLE	MET	2019
COTE_PMI_AD_2019_003	7	H4	COTE	ADULT	SAMPLE	PMI	2019
COTE_MET_AD_2019_126	7	A5	COTE	ADULT	SAMPLE	MET	2019
COTE_MET_AD_2019_127	7	B5	COTE	ADULT	SAMPLE	MET	2019
COTE_PMI_AD_2019_004	7	C5	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_005	7	D5	COTE	ADULT	SAMPLE	PMI	2019
COTE_SHI_AD_2019_002	7	E5	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_003	7	F5	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_004	7	G5	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_005	7	H5	COTE	ADULT	SAMPLE	SHIP	2019
COTE_OGI_AD_2019_001	7	A6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_002	7	B6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_003	7	C6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_004	7	D6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_CH_2019_035	7	E6	COTE	CHICK	SAMPLE	OGI	2019
COTE_OGI_CH_2019_037	7	F6	COTE	CHICK	SAMPLE	OGI	2019
BLANK_7-4	7	G6	BLANK	NA	BLANK	NA	2019
COTE_OGI_CH_2019_038	7	H6	COTE	CHICK	SAMPLE	OGI	2019
COTE_OGI_CH_2019_039	7	A7	COTE	CHICK	SAMPLE	OGI	2019
COTE_JEN_AD_2019_001	7	B7	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_002	7	C7	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_003	7	D7	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_004	7	E7	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_028	7	F7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_029	7	G7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_031	7	H7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_032	7	A8	COTE	CHICK	SAMPLE	JENNY	2019
COTE_STI_AD_2019_001	7	B8	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_002	7	C8	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_003	7	D8	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_004	7	E8	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_CH_2019_051	7	F8	COTE	CHICK	SAMPLE	STRAT	2019
